OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
01/01/2025,01:00,14678.77,10401.05,9146.23,9880.83,44106.88,N
01/01/2025,02:00,14572.10,10400.02,9076.50,9767.50,43816.13,N
01/01/2025,03:00,14419.08,10371.16,9057.78,9785.93,43633.94,N
01/01/2025,04:00,14649.55,10129.84,8925.27,9816.46,43521.12,N
01/01/2025,05:00,14797.79,10068.64,8884.06,9643.36,43393.86,N
01/01/2025,06:00,15296.90,10295.70,8947.42,9720.56,44260.58,N
01/01/2025,07:00,15797.37,10661.55,8980.23,9899.38,45338.53,N
01/01/2025,08:00,16314.39,10901.95,9120.02,9961.81,46298.16,N
01/01/2025,09:00,16488.31,10997.41,9248.89,10080.32,46814.93,N
01/01/2025,10:00,16355.15,11134.20,9228.13,10408.22,47125.70,N
01/01/2025,11:00,16301.13,11133.08,9216.62,10630.04,47280.87,N
01/01/2025,12:00,15640.28,11116.30,9289.53,10507.24,46553.36,N
01/01/2025,13:00,14998.32,10870.76,9031.29,10473.91,45374.28,N
01/01/2025,14:00,14623.53,10794.37,9059.02,10464.17,44941.08,N
01/01/2025,15:00,14524.37,10680.06,8922.57,10574.39,44701.39,N
01/01/2025,16:00,14086.24,10726.82,8890.70,10507.86,44211.63,N
01/01/2025,17:00,14338.82,10878.62,8866.23,10508.85,44592.52,N
01/01/2025,18:00,15338.39,11427.99,8903.63,10793.67,46463.69,N
01/01/2025,19:00,16162.04,11944.59,8568.35,11069.46,47744.44,N
01/01/2025,20:00,16357.96,11912.87,8479.97,11038.67,47789.46,N
01/01/2025,21:00,16827.42,11902.93,9014.46,10988.09,48732.89,N
01/01/2025,22:00,16703.38,11734.35,9385.94,10880.43,48704.10,N
01/01/2025,23:00,16157.29,11304.47,9132.27,10546.65,47140.68,N
01/01/2025,24:00,15938.63,10919.02,9207.76,10308.24,46373.65,N
